keyword,language,country,specialty,treatment,intent,estimated_volume,competition,commercial_value,target_url,page_type,primary_keyword,secondary_keywords,status,priority
medical treatment in india,en,Global,General,All,Commercial,,High,Very High,/en,Homepage,medical treatment in india,"medical tourism india; healthcare in india for foreigners",Planned,P0
medical treatment in india for oman patients,en,Oman,General,All,Commercial,,Medium,High,/en/countries/oman,Country Pathway,medical treatment in india for oman patients,"oman to india medical travel; best hospital in india for omanis",Planned,P0
medical treatment in india for saudi patients,en,Saudi Arabia,General,All,Commercial,,Medium,High,/en/countries/saudi-arabia,Country Pathway,medical treatment in india for saudi patients,"saudi patients in india; medical visa india saudi",Planned,P0
medical treatment in india for uae patients,en,UAE,General,All,Commercial,,Medium,High,/en/countries/uae,Country Pathway,medical treatment in india for uae patients,"dubai to india medical travel; second opinion india uae",Planned,P0
medical treatment in india for uzbekistan patients,en,Uzbekistan,General,All,Commercial,,Medium,High,/en/countries/uzbekistan,Country Pathway,medical treatment in india for uzbekistan patients,"tashkent to delhi medical; kidney transplant india uzbekistan",Planned,P0
medical treatment in india for kazakhstan patients,en,Kazakhstan,General,All,Commercial,,Medium,High,/en/countries/kazakhstan,Country Pathway,medical treatment in india for kazakhstan patients,"almaty to delhi treatment; robotic knee replacement kazakhstan",Planned,P0
kidney transplant in india,en,Global,Kidney,Kidney Transplant,Commercial,,High,Very High,/en/treatments/kidney-transplant-india,Treatment,kidney transplant in india,"living donor kidney transplant india; renal transplant delhi",Planned,P0
kidney transplant cost in india,en,Global,Kidney,Kidney Transplant,Transactional,,High,Very High,/en/treatment-cost/kidney-transplant-india,Cost Guide,kidney transplant cost in india,"cost of kidney transplant in india; cheap kidney transplant india",Planned,P0
liver transplant in india,en,Global,Liver,Liver Transplant,Commercial,,High,Very High,/en/treatments/liver-transplant-india,Treatment,liver transplant in india,"living donor liver transplant india; pediatric liver transplant delhi",Planned,P0
liver transplant cost in india,en,Global,Liver,Liver Transplant,Transactional,,High,Very High,/en/treatment-cost/liver-transplant-india,Cost Guide,liver transplant cost in india,"cost of liver transplant in india; affordable liver transplant india",Planned,P0
heart surgery in india,en,Global,Cardiology,Heart Surgery,Commercial,,High,Very High,/en/treatments/heart-surgery-india,Treatment,heart surgery in india,"CABG in india; beating heart bypass surgery delhi; valve replacement india",Planned,P0
heart surgery cost in india,en,Global,Cardiology,Heart Surgery,Transactional,,High,Very High,/en/treatment-cost/heart-surgery-india,Cost Guide,heart surgery cost in india,"cost of heart bypass in india; CABG package cost gurgaon",Planned,P0
robotic knee replacement in india,en,Global,Orthopedics,Knee Replacement,Commercial,,Medium,High,/en/treatments/knee-replacement-india,Treatment,robotic knee replacement in india,"total knee replacement india; bilateral knee replacement delhi",Planned,P0
knee replacement cost in india,en,Global,Orthopedics,Knee Replacement,Transactional,,High,High,/en/treatment-cost/knee-replacement-india,Cost Guide,knee replacement cost in india,"cost of knee replacement in india; robotic knee cost india",Planned,P0
hip replacement in india,en,Global,Orthopedics,Hip Replacement,Commercial,,Medium,High,/en/treatments/hip-replacement-india,Treatment,hip replacement in india,"total hip arthroplasty india; ceramic hip replacement gurgaon",Planned,P0
hip replacement cost in india,en,Global,Orthopedics,Hip Replacement,Transactional,,Medium,High,/en/treatment-cost/hip-replacement-india,Cost Guide,hip replacement cost in india,"cost of hip replacement in india; ceramic hip cost delhi",Planned,P0
brain tumor surgery in india,en,Global,Neurosurgery,Brain Tumor Surgery,Commercial,,Medium,High,/en/treatments/brain-tumor-surgery-india,Treatment,brain tumor surgery in india,"awake craniotomy india; cyberknife brain tumor india",Planned,P0
fortis memorial research institute international patients,en,Global,Hospital,All,Navigational,,Medium,High,/en/hospitals/fortis-memorial-research-institute,Hospital Profile,fortis memorial research institute international patients,"fortis fmri gurgaon; fortis hospital delhi medical tourism",Planned,P0
artemis hospital gurgaon international patients,en,Global,Hospital,All,Navigational,,Medium,High,/en/hospitals/artemis-hospital-gurgaon,Hospital Profile,artemis hospital gurgaon international patients,"artemis hospital delhi; artemis medical tourism",Planned,P0
shalby sanar international hospitals,en,Global,Hospital,All,Navigational,,Low,High,/en/hospitals/shalby-sanar-international,Hospital Profile,shalby sanar international hospitals,"sanar hospital gurgaon; sanar international kidney transplant",Planned,P0
marengo asia international hospitals,en,Global,Hospital,All,Navigational,,Low,Medium,/en/hospitals/marengo-asia-international,Hospital Profile,marengo asia international hospitals,"marengo asia gurgaon; marengo hospital oncology",Planned,P0
العلاج في الهند,ar,Global,General,All,Commercial,,High,Very High,/ar,Homepage,العلاج في الهند,"السياحة العلاجية في الهند; مستشفيات الهند",Planned,P0
العلاج في الهند للمرضى من عمان,ar,Oman,General,All,Commercial,,Medium,High,/ar/countries/oman,Country Pathway,العلاج في الهند للمرضى من عمان,"سفر للعلاج من مسقط للهند; منسق علاج في الهند عمان",Planned,P0
العلاج في الهند للمرضى من السعودية,ar,Saudi Arabia,General,All,Commercial,,Medium,High,/ar/countries/saudi-arabia,Country Pathway,العلاج في الهند للمرضى من السعودية,"علاج الأورام في الهند للسعوديين; مستشفيات دلهي للمرضى العرب",Planned,P0
زراعة الكلى في الهند,ar,Global,Kidney,Kidney Transplant,Commercial,,High,Very High,/ar/treatments/kidney-transplant-india,Treatment,زراعة الكلى في الهند,"تكلفة زراعة الكلى في الهند; شروط زراعة الكلى في الهند",Planned,P0
تكلفة زراعة الكلى في الهند,ar,Global,Kidney,Kidney Transplant,Transactional,,High,Very High,/ar/treatment-cost/kidney-transplant-india,Cost Guide,تكلفة زراعة الكلى في الهند,"أسعار زراعة الكلى في الهند; باقة زراعة الكلى دلهي",Planned,P0
زراعة الكبد في الهند,ar,Global,Liver,Liver Transplant,Commercial,,High,Very High,/ar/treatments/liver-transplant-india,Treatment,زراعة الكبد في الهند,"زراعة الكبد من متبرع حي الهند; أفضل دكتور زراعة كبد في الهند",Planned,P0
تكلفة زراعة الكبد في الهند,ar,Global,Liver,Liver Transplant,Transactional,,High,Very High,/ar/treatment-cost/liver-transplant-india,Cost Guide,تكلفة زراعة الكبد في الهند,"تكاليف زراعة الكبد بالهند; أسعار مستشفيات الهند لزراعة الكبد",Planned,P0
جراحة القلب المفتوح في الهند,ar,Global,Cardiology,Heart Surgery,Commercial,,Medium,High,/ar/treatments/heart-surgery-india,Treatment,جراحة القلب المفتوح في الهند,"عملية القلب المفتوح الهند; استبدال الصمام الأورطي الهند",Planned,P0
استبدال الركبة بالروبوت في الهند,ar,Global,Orthopedics,Knee Replacement,Commercial,,Medium,High,/ar/treatments/knee-replacement-india,Treatment,استبدال الركبة بالروبوت في الهند,"عملية تبديل مفصل الركبة في الهند; تكلفة تبديل الركبة في دلهي",Planned,P0
استبدال مفصل الورك في الهند,ar,Global,Orthopedics,Hip Replacement,Commercial,,Medium,High,/ar/treatments/hip-replacement-india,Treatment,استبدال مفصل الورك في الهند,"مفصل الورك الصناعي الهند; تكلفة عملية مفصل الورك في الهند",Planned,P0
مستشفى فورتيس جورجاون,ar,Global,Hospital,All,Navigational,,Medium,High,/ar/hospitals/fortis-memorial-research-institute,Hospital Profile,مستشفى فورتيس جورجاون,"فورتيس دلهي; مترجم مستشفى فورتيس",Planned,P0
مستشفى أرتيميس دلهي,ar,Global,Hospital,All,Navigational,,Medium,High,/ar/hospitals/artemis-hospital-gurgaon,Hospital Profile,مستشفى أرتيميس دلهي,"أرتيميس جورجاون; السياحة العلاجية أرتيميس",Planned,P0
مستشفى سانار الدولي,ar,Global,Hospital,All,Navigational,,Low,High,/ar/hospitals/shalby-sanar-international,Hospital Profile,مستشفى سانار الدولي,"سانار جورجاون; زراعة الكلى سانار",Planned,P0

